geo,text,user
,RT @ANINewsUP: UP| I condemn (attack on AIMIM MP Asaduddin Owaisi); there should be no violence in a democracy. Who is to blame? What was t…,mohsinyazdanii
,"RT @Prabhak27266085: #BEdTET2011_सपा_के_साथ

#BEdTET2011_सपा_के_साथ
BEdTET 2011 associations believe that progressive leader, Akhilesh Yada…",MOHdISH27707650
,"RT @The_WittyLawyer: Bl@st from the Past showing true face of @yadavakhilesh

Akhilesh Yadav left the Govt bungalow badly 'damaged' with ti…",jaatdev60730843
,"RT @rishibagree: Gentle Reminder : 

The age difference between Youth Icon Akhilesh Yadav &amp; Yogi Adityanath is only 1 year",muktakanotra1
,"RT @rishibagree: Gentle Reminder : 

The age difference between Youth Icon Akhilesh Yadav &amp; Yogi Adityanath is only 1 year",mswaldia
,"RT @The_WittyLawyer: Bl@st from the Past showing true face of @yadavakhilesh

Akhilesh Yadav left the Govt bungalow badly 'damaged' with ti…",vidyootb
,"RT @The_WittyLawyer: Bl@st from the Past showing true face of @yadavakhilesh

Akhilesh Yadav left the Govt bungalow badly 'damaged' with ti…",yooelre
,"RT @The_WittyLawyer: Bl@st from the Past showing true face of @yadavakhilesh

Akhilesh Yadav left the Govt bungalow badly 'damaged' with ti…",perfreactionist
,"RT @go4avinash: 'Unemployment Rate' in Uttar Pradesh (UP) before 2017 during Akhilesh Yadav's Government.

Source : CMIE https://t.co/P1309…",Navleenkaur23
,"RT @rishibagree: Gentle Reminder : 

The age difference between Youth Icon Akhilesh Yadav &amp; Yogi Adityanath is only 1 year",05Chandan
,"RT @rishibagree: Gentle Reminder : 

The age difference between Youth Icon Akhilesh Yadav &amp; Yogi Adityanath is only 1 year",Virathu4
,"RT @rishibagree: Gentle Reminder : 

The age difference between Youth Icon Akhilesh Yadav &amp; Yogi Adityanath is only 1 year",Kanishk80573429
,"RT @sangwanarun: Jaats being incited in Western UP, Sikh in Punjab for election #HateSpeech

#Islamophobia #Gandhi
""No Truckers"" #IStandWit…",amitjatjakhar1
,"RT @rishibagree: Gentle Reminder : 

The age difference between Youth Icon Akhilesh Yadav &amp; Yogi Adityanath is only 1 year",shashipokhriyal
,"RT @SamajwadiUsa: It's rare when a politician uses scientific terminologies.
In this clip @yadavakhilesh is talking in scientific terms lik…",SULENDRAYADAV20
,"RT @rishibagree: Gentle Reminder : 

The age difference between Youth Icon Akhilesh Yadav &amp; Yogi Adityanath is only 1 year",rksingh0075
,"1. An Australian MP has requested @narendramodi to give @myogiadityanath who can handle 25 Cr Indian state during Corona 
Advt CM #ArvindKejriwal 2 cr population and #Akhilesh_Yadav who read from #Australia was not considered
2. Time will tell that #UttarPradesh will prosper.",sanjeevchadha8
,@sucherita_k Well done to do the debate on ground. It is known fact that @myogiadityanath is being challenged by ( war of words only). #Akhilesh_Yadav #Mayawati dont consider this Yogi hot seat but dont want to accept the challenge to contest. One remark which got unnoticed that https://t.co/MjNB7jhdjv,sanjeevchadha8
,"RT @The_WittyLawyer: Bl@st from the Past showing true face of @yadavakhilesh

Akhilesh Yadav left the Govt bungalow badly 'damaged' with ti…",ankit_amc
,@Sweet_HoneygaI Because Yogi Adityanath and Tejeswai Surya are mature leaders. #RahulGandhi and #Akhilesh_Yadav are still not mentally grown up.,bhatiasushil
,"RT @RAMPRAV75658976: #BEdTET2011_सपा_के_साथ
Only Akhilesh Yadav is the hero of BEdTET 2011 association. https://t.co/ydvOEE0POs",KDGICCHAUKI
,"RT @RAMPRAV75658976: #BEdTET2011_सपा_के_साथ
BEdTET 2011 association wants to look sitting Akhilesh Yadav on the throne of UP. https://t.co/…",KDGICCHAUKI
,"RT @rishibagree: Gentle Reminder : 

The age difference between Youth Icon Akhilesh Yadav &amp; Yogi Adityanath is only 1 year",Nkumar68945561
,"RT @rishibagree: Gentle Reminder : 

The age difference between Youth Icon Akhilesh Yadav &amp; Yogi Adityanath is only 1 year",atlantesindia
,"RT @The_WittyLawyer: Bl@st from the Past showing true face of @yadavakhilesh

Akhilesh Yadav left the Govt bungalow badly 'damaged' with ti…",browngirlvin
,"RT @rishibagree: Gentle Reminder : 

The age difference between Youth Icon Akhilesh Yadav &amp; Yogi Adityanath is only 1 year",sivared87581297
,"RT @The_WittyLawyer: Bl@st from the Past showing true face of @yadavakhilesh

Akhilesh Yadav left the Govt bungalow badly 'damaged' with ti…",Meghanasp4
,"RT @The_WittyLawyer: Bl@st from the Past showing true face of @yadavakhilesh

Akhilesh Yadav left the Govt bungalow badly 'damaged' with ti…",my_guruG
,"RT @The_WittyLawyer: Bl@st from the Past showing true face of @yadavakhilesh

Akhilesh Yadav left the Govt bungalow badly 'damaged' with ti…",Deepak2006116
,"RT @rishibagree: Gentle Reminder : 

The age difference between Youth Icon Akhilesh Yadav &amp; Yogi Adityanath is only 1 year",shubhubatra
,"RT @rishibagree: Gentle Reminder : 

The age difference between Youth Icon Akhilesh Yadav &amp; Yogi Adityanath is only 1 year",kumarlaw0
,"RT @rishibagree: Gentle Reminder : 

The age difference between Youth Icon Akhilesh Yadav &amp; Yogi Adityanath is only 1 year",junejarajiv
,"RT @rishibagree: Gentle Reminder : 

The age difference between Youth Icon Akhilesh Yadav &amp; Yogi Adityanath is only 1 year",KatwaLiyaNaa
,"RT @The_WittyLawyer: Bl@st from the Past showing true face of @yadavakhilesh

Akhilesh Yadav left the Govt bungalow badly 'damaged' with ti…",raniroyrocky
,"RT @NewsArenaIndia: Amit Shah : There are three places for Bahubalis in UP - outside UP, jail or Akhilesh Yadav’s candidate list.",UshaDravid
