geo,text,user
,"RT @devaks7: Akhilesh yadav created fear of vaccines, called it #BJP ki vaccine.
His MLC had said he will not get vaccinated because akhile…",AnandSr59708557
,RT @ANINewsUP: Akhilesh Yadav during his govt was not able to provide electricity even for 300 hours but now announced giving free 300 unit…,ShivamR69133216
,"RT @AnkitIndiaReal: Yogi Adityanath's big attack on Akhilesh Yadav's manifesto. 

CM said that those who talk about giving 'electricity' fo…",Bhubaneswar2020
,"RT @RajeAiyer: 💥💥💥 #UPElection2022 Bow to Samajwadi Party in Bundelkhand:
Chandrabhushan Singh (Guddu Raja) has left Samajwadi.
He is a clo…",Prisau21
,"KTR meets Akhilesh Yadav in Lucknow, 

sparks speculation on Federal Front 

But reality is little bit different on… https://t.co/zqaB9gPSir",HiiHyderabad
,RT @Newsbox_India: We can back Akhilesh Yadav if need arises : Priyanka Gandhi Vadra.,thoufikINC
,"RT @RajeAiyer: *Everyone is worried about this socialism,which Akh!lesh Yadav did in 2012......*
1 Mulayam Singh Yadav - MP
2 Akhilesh Yada…",horlali2404
,"RT @devaks7: Akhilesh yadav created fear of vaccines, called it #BJP ki vaccine.
His MLC had said he will not get vaccinated because akhile…",Kritarth2020
,@_n17h1n @amiet02162952 @ANINewsUP Those who can't be responsible and give irresponsible statement and spread misin… https://t.co/2z84nw6F7M,Rahul81146064
,"RT @ramug0137: Amit shah meeting Hindu families of Kairana who were forced to leave by SP MLA Nahid Hasan 

Akhilesh Yadav again gave ticke…",SumanKu56888484
,"RT @ASHOK_KR_TIWARI: #BEdTET2011_UP_मे_अखिलेश

Akhilesh Yadav sir we all BEDTET 2011 candidates stands in front of your doors as a receiver…",PrasadGPYadav
,"RT @Scar3rd: Great, now with his help Akhilesh Yadav can even steal tubelights &amp; fans from govt property.",Sohan03285793
,"RT @RamPrav80707581: #BEdTET2011_UP_मे_अखिलेश
Only Akhilesh Yadav can innovate in UP so we shall select him throne of UP. https://t.co/GPrJ…",PrasadGPYadav
,"RT @RajeAiyer: *Everyone is worried about this socialism,which Akh!lesh Yadav did in 2012......*
1 Mulayam Singh Yadav - MP
2 Akhilesh Yada…",incucoin
,"RT @htlucknow: As Union minister @iAnuragThakur went on a door-to-door campaign in #Lucknow, he said he has a befitting reply for those who…",MajamboKE
,"RT @devaks7: Akhilesh yadav created fear of vaccines, called it #BJP ki vaccine.
His MLC had said he will not get vaccinated because akhile…",Amitrai0604
,"@p_sahibsingh @yadavakhilesh Why can't a case filed against @yadavakhilesh and police officers who did this?
Shame… https://t.co/i3WXvw2HTe",yadavlalitk
,"RT @Bharatkhandre1: Brother's and Sister's of 
UP 
Save UP from looters like
 Mulla Akhilesh Yadav
 and 
Vote BJP 
Vote PM MODI ji 
Vote Yo…",Diwakar62672746
,"RT @VarunKrRana: Akhilesh Yadav found a safe seat for him where 35% are Yadavs. 

Priyanka Gandhi should also find a seat where 35% are Par…",ChandPraphulla
,"RT @mvmeet: Remember that Akhilesh Yadav will never speak like this

So, don't forget that if Yogi ji doesn't win, Hindus will not be able…",bipinray_83
,"RT @RajeAiyer: *Everyone is worried about this socialism,which Akh!lesh Yadav did in 2012......*
1 Mulayam Singh Yadav - MP
2 Akhilesh Yada…",vinayakven
,"RT @Bharatkhandre1: Brother's and Sister's of 
UP 
Save UP from looters like
 Mulla Akhilesh Yadav
 and 
Vote BJP 
Vote PM MODI ji 
Vote Yo…",ChhotiBacchi
,"RT @ramug0137: Amit shah meeting Hindu families of Kairana who were forced to leave by SP MLA Nahid Hasan 

Akhilesh Yadav again gave ticke…",RajuSalla5
,"RT @RajeAiyer: *Everyone is worried about this socialism,which Akh!lesh Yadav did in 2012......*
1 Mulayam Singh Yadav - MP
2 Akhilesh Yada…",moolyaglobal
,"So what? 
Shameless indoos still vote #Akhilesh_Yadav n still follow him..

Indoos basically selfish ignorant shame… https://t.co/ATGDfZxeme",GrahantaraVaasi
,"@MeghBulletin This is the video which should be forwarded to all our brothers from UP.

Its a grim reminder how akh… https://t.co/aOS1ao4RYN",Sandeep82057119
,"RT @VarunKrRana: Akhilesh Yadav found a safe seat for him where 35% are Yadavs. 

Priyanka Gandhi should also find a seat where 35% are Par…",mswaldia
,"Vote for Akhilesh Yadav - Path to Development
Samasamaja structure - possible with Akhileshyadav @ShakuntlaDon… https://t.co/0QCCPwbTmc",earlaNagarjuna2
,"RT @India_Policy: Akhilesh Yadav is not contesting for power in the #UP2022, his bid is to make UP's politics bipolar between BJP and SP.…",balramsuhane
