geo,text,user
,"RT @JIGARDOSHI23: 🚩🇮🇳
उत्तरप्रदेश के समस्त निवासियो को
जय श्री राम

राहुल बाबा
अखिलेश बाबा
जयंत बाबा

ये सब के पीछे एक ही शब्द है
बाबा

बा…",SonuSingn
,RT @HansrajMeena: क्या आपको याद है? हाथरस में आधी रात को पेट्रोल डालकर दरिंदगी की शिकार दलित बच्ची का अंतिम संस्कार किया गया। हाथरस के काति…,Sunnybhati9610
,RT @HansrajMeena: क्या आपको याद है? हाथरस में आधी रात को पेट्रोल डालकर दरिंदगी की शिकार दलित बच्ची का अंतिम संस्कार किया गया। हाथरस के काति…,Amitsin79784775
,"RT @IPSinghSp: प्रधानमंत्री जी भारी मतों से उत्तर प्रदेश की जनता आपको हरायेगी।

कहाँ थे जब 50 लाख लोग कोरोना से यूपी में मारे गये?

कहाँ थे…",Ametyadav1
,RT @HansrajMeena: क्या आपको याद है? हाथरस में आधी रात को पेट्रोल डालकर दरिंदगी की शिकार दलित बच्ची का अंतिम संस्कार किया गया। हाथरस के काति…,vipinbramhe1112
,"RT @soni_khushabu: माननीय मुख्यमंत्री योगी आदित्यनाथ जी
हर जागरूक वोटर के... 👉"" मन की बात ""
👇👇👇
इस बार उसी की सरकार...
जो करेगा संतो का स…",RupeshK32328087
,"RT @IPSinghSp: CM योगी आदित्यनाथ उर्फ ठा0 अजय सिंह मूलतः उत्तराखंडी हैं।

उत्तर प्रदेश मैदानी इलाका है इसलिए यहाँ गर्मी बहुत पड़ती है।

बा…",ZauzAezaz
,RT @HansrajMeena: क्या आपको याद है? हाथरस में आधी रात को पेट्रोल डालकर दरिंदगी की शिकार दलित बच्ची का अंतिम संस्कार किया गया। हाथरस के काति…,imShuvo8
,"RT @YogiJiSupporter: मेरा संकल्प है - मेरा मेरे परिवार का और मेरे आसपड़ोस और मिलनसार लोगों का वोट योगी आदित्यनाथ जी को ही मिले।
     🙏आप भी…",NaharSi13420950
,"RT @IPSinghSp: CM योगी आदित्यनाथ उर्फ ठा0 अजय सिंह मूलतः उत्तराखंडी हैं।

उत्तर प्रदेश मैदानी इलाका है इसलिए यहाँ गर्मी बहुत पड़ती है।

बा…",111Muno
