geo,text,user
,RT @PrashantTandy: पाकिस्तान का नाम दिन भर में ज़्यादा कौन लेता है योगी आदित्यनाथ या इमरान खान? 😀,abid_hussain
,"RT @DarshanaSingh76: ना साइकिल - ना हाथी - ना हाथ,
इस बार फिरसे योगी आदित्यनाथ।

#कमल_खिलेगा_यूपी_में https://t.co/duKflfqrxP",DineshS58628688
,"RT @vatsala_singh98: अच्छा चलो ईमानदारी से बताना कौन कौन योगी आदित्यनाथ जी को वोट देगा , जो योगी जी को वोट देगा ,में उसको तुरंत फॉलो करूंगी…",InstituteRacer
,RT @avinashonly: अपने चैनल की चुनावी बस को पार्टी का प्रचार करने के लिए रवाना करते हुए महंथ योगी आदित्यनाथ! https://t.co/JBL5y43AkH,pratiks44791395
,"यूपी की हर सीट पर योगिजी को देखो
ये धर्म युद्ध है पार्थ🙏
लक्ष्य नहीं 
फिक्स है👌💯
2022 के सीएम योगी आदित्यनाथ है💪",Ashthasingh_
,RT @anmolpritamND: भाजपा वाले कहते हैं कि योगी कि कोई जाति नहीं होती है. लेकिन यह क्या योगी जी खुद अपनी जाति बता रहे हैं.अजय बिष्ट से योगी…,GovindK46157730
,"RT @INitin_Sharma: भाजपा सरकार ने जो कहा वो किया

उत्तर प्रदेश को गुंडाराज मुक्त प्रदेश बनाते हुए योगी आदित्यनाथ जी के नेतृत्व वाली भाजपा स…",RiyaSha36739072
,"वो अवैध तमंचों की फैक्ट्री लगाते थे हम डिफेंस कॉरिडोर लगा रहे हैं,

फर्क साफ है - योगी आदित्यनाथ जी

#यूपी_मांगे_भाजपा",LokeshJoshi2017
,RT @PrashantTandy: योगी आदित्यनाथ कब्रिस्तान एक्सपर्ट हैं.,Nitish43296697
,RT @PRIYANKABjpV: डबल इंजन सरकार द्वारा बनाया जा रहा 'ईस्टर्न पेरिफेरल एक्सप्रेस-वे' बागपतवासियों के साथ ही आसपास के सटे हुए जनपदों और प…,RiyaSha36739072
,"RT @vatsala_singh98: अच्छा चलो ईमानदारी से बताना कौन कौन योगी आदित्यनाथ जी को वोट देगा , जो योगी जी को वोट देगा ,में उसको तुरंत फॉलो करूंगी…",Sapan_patna
,"भाजपा सरकार ने जो कहा वो किया।
उत्तर प्रदेश को गुंडाराज मुक्त प्रदेश बनाते हुए योगी आदित्यनाथ जी के नेतृत्व वाली भा… https://t.co/30nnSfsHIr",pandey1rituraj
,"RT @harshsharbjp: माननीय योगी आदित्यनाथ जी के नेतृत्व वाली भाजपा सरकार में उत्तर प्रदेश अपने गुंडाराज, माफियाराज, महिलाओं के प्रति घटना के…",82tripathi
,"RT @INCBANSAL: वाह गजब मौज कर दी जो उनके मन में थी उनके होठों पर आ गई 🤣🤣

भयंकर गुस्से में यूपी की महिलाएं, योगी आदित्यनाथ पर मंडराया हार…",AnkurKu06709789
,RT @anmolpritamND: भाजपा वाले कहते हैं कि योगी कि कोई जाति नहीं होती है. लेकिन यह क्या योगी जी खुद अपनी जाति बता रहे हैं.अजय बिष्ट से योगी…,RaviRoy32765668
,"RT @The_Madhu1: योगी आदित्यनाथ केवल उत्तर प्रदेश के मुख्यमंत्री प्रत्याशी नहीं बल्कि भारत के हिन्दूओं के सुरक्षा कवच हैं।

योगी जी को फिर…",Abhishe03274111
,RT @anmolpritamND: भाजपा वाले कहते हैं कि योगी कि कोई जाति नहीं होती है. लेकिन यह क्या योगी जी खुद अपनी जाति बता रहे हैं.अजय बिष्ट से योगी…,suryabhanfzd
,"RT @YuvrajSingh_BJP: भाजपा सरकार ने जो कहा वो किया।

उत्तर प्रदेश को गुंडाराज मुक्त प्रदेश बनाते हुए योगी आदित्यनाथ जी के नेतृत्व वाली भाज…",HarishS37735945
,"RT @aajtak: 'जब हम सत्ता में आए तो राम मंदिर का सपना साकार हुआ', हापुड़ में सपा पर जमकर बरसे योगी आदित्यनाथ
https://t.co/UuiRFs0g1l",Sunil1841
,"RT @PreetiNegi_: - Lucknow 
- मुख्यमंत्री योगी आदित्यनाथ का आज कार्यक्रम
- सीएम योगी का आज बागपत,गाज़ियाबाद दौरा
- गाज़ियाबाद से बागपत जाएं…",Sunil1841
,"RT @uppolitics2022: पूर्व प्रधानमंत्री स्वर्गीय लाल बहादुर शास्त्री के पुत्र पूर्व मंत्री सुनील शास्त्री, योगी आदित्यनाथ के खिलाफ चुनाव ल…",Shivendra170820
,RT @ritikasinghs: ‘उत्तर प्रदेश की पूर्व सरकार ने गाजियाबाद में 'हज हाउस' बनवाया और BJP सरकार ने यहां ₹94 करोड़ की लागत से अत्याधुनिक सुवि…,worakeshmishra
,"RT @YuvrajSingh_BJP: भाजपा सरकार ने जो कहा वो किया।

उत्तर प्रदेश को गुंडाराज मुक्त प्रदेश बनाते हुए योगी आदित्यनाथ जी के नेतृत्व वाली भाज…",ChandanStudents
,"RT @INCBANSAL: वाह गजब मौज कर दी जो उनके मन में थी उनके होठों पर आ गई 🤣🤣

भयंकर गुस्से में यूपी की महिलाएं, योगी आदित्यनाथ पर मंडराया हार…",BhupendraSidar2
,"माननीय योगी आदित्यनाथ जी के नेतृत्व वाली भाजपा सरकार में उत्तर प्रदेश अपने गुंडाराज, माफियाराज, महिलाओं के प्रति घट… https://t.co/xW7fpw0bFZ",RajputKanyaUP
,RT @anmolpritamND: भाजपा वाले कहते हैं कि योगी कि कोई जाति नहीं होती है. लेकिन यह क्या योगी जी खुद अपनी जाति बता रहे हैं.अजय बिष्ट से योगी…,Vikram77singh
,"RT @YuvrajSingh_BJP: भाजपा सरकार ने जो कहा वो किया।

उत्तर प्रदेश को गुंडाराज मुक्त प्रदेश बनाते हुए योगी आदित्यनाथ जी के नेतृत्व वाली भाज…",smart_classmate
,RT @NarenderChawla1: यशस्वी मुख्यमंत्री योगी आदित्यनाथ जी के नेतृत्व वाली भाजपा सरकार ने 4.5 सालों में 86 लाख किसानों का 36 हजार करोड़ से अ…,DattaDadu5151
,RT @anmolpritamND: भाजपा वाले कहते हैं कि योगी कि कोई जाति नहीं होती है. लेकिन यह क्या योगी जी खुद अपनी जाति बता रहे हैं.अजय बिष्ट से योगी…,SANJAY9264
,"RT @AlisaThakur_: योगी आदित्यनाथ ही आयेंगे इस भ्रम मे आकर कोई कांड मत कर देना भक्तो, 

बाबाजी तुम्हारे घर-बार बिकवा देंगे। 😀
जनहित मे जारी…",Shahzebalvi4
,"RT @iJagdishSolanki: योगी आदित्यनाथ आजकल ट्विटर पर छ़ाये हुए है सुबह सुबह हिंदू-मुस्लिम में लग जाते है।

इन्हें हर दिन हज़ हाउस के सपने आते…",TeamJawed
,"RT @abhinavshukla48: भाजपा सरकार ने जो कहा वो किया।

उत्तर प्रदेश को गुंडाराज मुक्त प्रदेश बनाते हुए योगी आदित्यनाथ जी के नेतृत्व वाली भाज…",SG6377
,"RT @harshsharbjp: भाजपा सरकार ने जो कहा वो किया।
उत्तर प्रदेश को गुंडाराज मुक्त प्रदेश बनाते हुए योगी आदित्यनाथ जी के नेतृत्व वाली भाजपा सर…",82tripathi
,"RT @YuvrajSingh_BJP: भाजपा सरकार ने जो कहा वो किया।

उत्तर प्रदेश को गुंडाराज मुक्त प्रदेश बनाते हुए योगी आदित्यनाथ जी के नेतृत्व वाली भाज…",SG6377
,"RT @SachinSriHardoi: माननीय योगी आदित्यनाथ जी के नेतृत्व वाली भाजपा सरकार में उत्तर प्रदेश अपने गुंडाराज, माफियाराज, महिलाओं के प्रति घटना…",singh_villager
