geo,text,user
,अखिलेश यादव द्वारा टिकट देने पर चारो ओर हाहाकार मच गया कि टिकट गलत/अपराधियों को दिया गया है पर जब पुरानी पेंशन की… https://t.co/WHqp3rtov5,SatyanarayanT17
,"RT @kpmaurya1: मैनपुरी जनपद में करहल सहित सभी सीटों पर 2022 में खिलेगा कमल का फूल,लगेगा जीत का चौका,श्री अखिलेश यादव जी ने विकास किया होता…",SudhirG83828750
,RT @samajwadiparty: सपा सरकार बनने पर बहाल करेंगे पुरानी पेंशन: माननीय राष्ट्रीय अध्यक्ष श्री अखिलेश यादव जी। https://t.co/aVRChkdVQ2,BijendraBk1
,RT @Shrish_1987: जब अखिलेश यादव मुख्यमंत्री थे तब एक दलित एसडीएम को समाजवादी पार्टी का विधायक नाहिद हसन जो अखिलेश यादव का सबसे प्यारा विधाय…,R__Garg_
,"RT @kpmaurya1: मैनपुरी जनपद में करहल सहित सभी सीटों पर 2022 में खिलेगा कमल का फूल,लगेगा जीत का चौका,श्री अखिलेश यादव जी ने विकास किया होता…",BhagwatsInght10
,"RT @Khushi9595: ""बेटी पटाओ"" जैसे शब्द अगर राहुल गांधी, अखिलेश यादव या किसी मुस्लिम ने बोल दिए होते तो अब तक भाजपा प्रवक्ता रुबिका, अंजना और…",Adv_AizazAhmed
,RT @nsvermamla: हम आभारी है अपनी पार्टी और पार्टी के राष्ट्रीय अध्यक्ष मा. अखिलेश यादव जी भावी मुख्यमंत्री उत्तर प्रदेश के कि कर्मचारियों…,arunkum97978844
,"सपा सरकार के 5 साल के कार्यकाल को याद किया जाए तो सीधे तौर पर अखिलेश यादव हर जगह फेल साबित हुए। कानून व्यवस्था, सां… https://t.co/gT4Qaj9BLy",arkeshdubeybjp
,"RT @AbhishektiBJP: सपा सरकार के 5 साल के कार्यकाल को याद किया जाए तो सीधे तौर पर अखिलेश यादव हर जगह फेल साबित हुए। कानून व्यवस्था, सांप्रदा…",beingarun28
,"सपा सरकार के 5 साल के कार्यकाल को याद किया जाए तो सीधे तौर पर अखिलेश यादव हर जगह फेल साबित हुए। कानून व्यवस्था, सां… https://t.co/iQkyUya90o",BJP4JNP
,"RT @Voice_Of_Naaz: #Postpone_UPTET_2021
""बेटी पटाओ"" जैसे शब्द अगर राहुल गांधी या अखिलेश यादव या किसी मुस्लिम ने बोल दिए होता तो

अब तक भाज…",nitingausganj
,"RT @rajeshk9835455: BJP के खिलाफ यूपी को एकजुट करने की लड़ाई लड़ रहें, अखिलेश यादव परिवार की एकजुटता रखने में नाकाम रहें हैं .!

@AmanChopr…",shaishiara
,"RT @SaumyaA58240722: अखिलेश यादव बस एक घोषणा और कर दें
भाजपा द्वारा बनाए गए एंटी रोमियो कानून को सबसे पहले खत्म करेंगे
युवाओं को इस काम ने…",Saritaswami1618
,RT @tafsirkhan313: मुस्लिम पार्टियों से गठबंधन ना करके अखिलेश यादव ने ये साबित कर दिया की वो कभी भी मुस्लिम समाज को बराबर का हिस्सेदार नहीं…,AFROZANSARI0
,"RT @AshokShrivasta6: अखिलेश यादव जी को भी अब से नरेन्द्र मोदी के भक्तों में गिना जाना चाहिए।
जिस इमरान मसूद ने मोदी जी को मारने की धमकी दी…",NitishJ07202310
,"RT @shanu_sab: - मुलायम सिंह यादव के समधी 'हरिओम यादव' बीजेपी में शामिल।
- मुलायम सिंह यादव की बहू 'अपर्णा यादव' बीजेपी में शामिल।
- मुलायम…",USMANAH51877972
,"RT @ShreyaVermaSP: हर महिला की यही पुकार ,
अखिलेश यादव अबकी बार ।

#बाईस_में_बाइसिकल https://t.co/4bGsaNDTPP",AJAYYADAVAkhil1
,"सपा सरकार के 5 साल के कार्यकाल को याद किया जाए तो सीधे तौर पर अखिलेश यादव हर जगह फेल साबित हुए। कानून व्यवस्था, सां… https://t.co/77qMAlYoXA",AbhishektiBJP
,यदि उत्तर प्रदेश में समाजवादी पार्टी की सरकार बनी तो कर्मचारियों को पुरानी पेंशन OPS दी जाएगी - अखिलेश यादव,vktiwari1984
,RT @INeetuDabas: आरएलडी और अखिलेश यादव ने फिर से मुगलिया सल्तनत की याद दिला दी। #दंगा_प्रेमी_सपा https://t.co/u5iAP6MdKw,Uditshandilya
,RT @YOGIfiedShubh: इंजीनियर यादव सिंह के लिए अखिलेश सरकार सुप्रीम कोर्ट तक गई. पर वहां पर भी हाई कोर्ट का ही फैसला माना गया. @yadavakhilesh…,Patienc99290909
,"RT @news24tvchannel: #BREAKING: मैनपुरी के करहल से चुनाव लड़ेंगे अखिलेश यादव 

#UPElections2022 https://t.co/37uUex3llI",PankajK05797132
,"RT @ThePrashant_1: जैसे जैसे चुनाव नजदीक आता जा रहा है अखिलेश यादव पकड़ खो रहे है 
और महाराज जी फॉर्म में आ रहे है अबकी लहर बड़ी करारी है 3…",ShalabhGarg19
,अखिलेश यादव मैनपुरी के करहल से लड़ेंगे विधानसभा चुनाव https://t.co/HK5OSuxf8X #mainpuri #Akhilesh_Yadav… https://t.co/acc6WnE9ZJ,publicnewstv_in
,"RT @Ramraajya: ""बेटी पटाओ"" जैसे शब्द अगर राहुल गांधी या अखिलेश यादव या किसी मुस्लिम ने बोल दिए होते तो

अब तक भाजपा प्रवक्ता रुबिका, अंजना…",DingiyaMithlesh
,RT @azizkavish: सरकार नहीं है लेकिन हजारों की तादाद में लोग चिट्ठी लेकर रोज अखिलेश यादव से मिलने आते हैं। और अखिलेश इनके बीच जाकर सबकी चि…,ChandaraSubhash
,"RT @AshokShrivasta6: क्या ‘सुरक्षित सीट’ की तलाश में अखिलेश यादव मैनपुरी पहुंचे हैं? मैदान में अखिलेश,घर में कलेश क्या रंग लायेगा? #DoTook…",aksinhaster
,RT @Abhinav_Pan: अखिलेश यादव ने आज की प्रेस कॉन्फ्रेंस में बड़ी घोषणा कर दी। वादा है कि सरकार बनी तो 2005 के पहले की पेंशन व्यवस्था बहाल क…,3Aurus
