geo,text,user
,"RT @DrShahrukhPT: सही कहा @sattawani सर आपने।
ये शानदार इंसान है,
कोई दिखावा नही,
कोई धूर्तता नही,
कोई ईमान बेचने की बात नही।
#UPElection20…",Kalyankumaryad7
,RT @Pandey18Anamika: विवादों से भले ही रिश्ता रहता हो….लेकिन शख़्सियत दूसरों से बिल्कुल जुदा….@asadowaisi क़ायल बना लिया आपने अपना….All the…,ShoaibA67481373
,RT @Pandey18Anamika: विवादों से भले ही रिश्ता रहता हो….लेकिन शख़्सियत दूसरों से बिल्कुल जुदा….@asadowaisi क़ायल बना लिया आपने अपना….All the…,sk4717531
,"RT @ZeeNews: शायर मुनव्वर राणा ने कहा है कि बीजेपी में भी अच्छे लोग है लेकिन योगी अच्छे नहीं है 

#MunawwarRana #UPElection2022
 
https://t…",Magu21885917
,"UP Election: सपा अध्यक्ष अखिलेश यादव आज गाजियाबाद और हापुड़ के दौरे पर, जानिये पूरा कार्यक्रम

#UPElection2022… https://t.co/CFfvnDiit7",DNHindi
,"RT @news24tvchannel: गांव में BJP के लोग घुस नहीं पा रहे, किसानों की नजर में Teni सबसे बड़ा गुंडा : @jayantrld 

@RLDparty #UPElection2022…",AKMalik90
,"कल ट्रेन मे एक बैग मिला है
लखनऊ का है 😏

उसमे एक विधानसभा का टिकट भी है 😂
कोई है उम्मीदवार तो बताओ 😂😂

#UPElection2022",DesiConfucius
,"RT @Basantrajsonu: 'राशन से क्या होता है, मेन बात है रोजगार मुहैया कराओ. आपने कहा गांव में रोजगार देंगे, हज़ार रुपये हमें कम दीजिए, लेकिन…",umarpatel21
,RT @Pandey18Anamika: विवादों से भले ही रिश्ता रहता हो….लेकिन शख़्सियत दूसरों से बिल्कुल जुदा….@asadowaisi क़ायल बना लिया आपने अपना….All the…,AteeqSyed13
,"यूपी का कैडर तो था ही, लगता है रंगा बिल्ला भी हाथ खींच लिए है बाबा के ऊपर से।
#UPElection2022 https://t.co/vnEHmy9fph",Anis_Husain
,"RT @Kisan_ItCell: लहर बड़ी करारी है, भाजपा नेताओं का गाँव गाँव मे ""खदेड़ा"" जारी है,
फिर भी गोदी न्यूज चैनलों पर भाजपा ही सब पर भारी है😂

#U…",__DeepKSandhu
,"RT @tahzeebansari7: उत्तर प्रदेश विधानसभा चुनाव 2022 हेतु प्रत्याशियों की सातवीं सूची
@tahzeebansari7 
@asadowaisi
@imshaukatali
#UPElectio…",AsadSrkian
,"RT @SudarshanNewsTV: चुनाव प्रचार अभियान को लेकर फुर्तीली नजर आ रही है भाजपा....आज बागपत में नजर आएंगे सीएम योगी
#UPElection2022
@myogiadit…",lakhani_alkesh
,RT @Pandey18Anamika: विवादों से भले ही रिश्ता रहता हो….लेकिन शख़्सियत दूसरों से बिल्कुल जुदा….@asadowaisi क़ायल बना लिया आपने अपना….All the…,MoeenuddinKhan7
,RT @news24tvchannel: पश्चिमी उत्तरप्रदेश में BJP नेताओ को भगाया और कूटा जा रहा है इसलिए अब ये लोग दिल्ली में बैठक कर रहे हैं : @yadavakhile…,raj_manglick
,"@iamabha1 देखो @iamabha1  तुम न तो सपा की तरफ से हो , न कांग्रेस की तरफ से , तुम हो अपने मज़हब की तरफ से । 
हिंदु… https://t.co/lnPoBs7uyv",dheerajsingh108
,"RT @news24tvchannel: पूर्व सरकार ने 'हज हाउस' बनवाया था और BJP ने यहां कैलाश मानसरोवर भवन का निर्माण कराया है 
: @myogiadityanath 

#UPElec…",Sunny93498194
,RT @news24tvchannel: पश्चिमी उत्तरप्रदेश में BJP नेताओ को भगाया और कूटा जा रहा है इसलिए अब ये लोग दिल्ली में बैठक कर रहे हैं : @yadavakhile…,Parmesh65980951
,"RT @ZeeNews: यूपी में 31 जनवरी को पीएम की पहली वर्चुअल रैली -सूत्र  #BreakingNews 

#UPElection2022 

अन्य खबरों के लिए क्लिक करें - https:…",AnisArts79
,"RT @pri9ce_alok: कल ट्रेन मे एक बैग मिला है
लखनऊ का है 😏😏
उसमे एक विधानसभा का टिकट भी है 😂
कोई है उम्मीदवार तो बताओ 😂😂😂
#UPElection2022",mushkan_desh_ki
,"#Kanpur -

किदवई नगर विधायक महेश त्रिवेदी के बिगड़े बोल

महेश त्रिवेदी बोले नही जाऊँगा घर-घर वोट मांगने, चाहे वोट क… https://t.co/Rc4I0jBtKu",jmdnewsflash
,RT @news24tvchannel: पश्चिमी उत्तरप्रदेश में BJP नेताओ को भगाया और कूटा जा रहा है इसलिए अब ये लोग दिल्ली में बैठक कर रहे हैं : @yadavakhile…,AjitKumar35
,"भाजपा के राष्ट्रीय अध्यक्ष जेपी नड्डा का इटावा दौरा आज।
#JPNadda #UPElection2022 https://t.co/QOa3mm833P",HindusthanUP
,"RT @SudarshanNewsTV: चुनाव प्रचार अभियान को लेकर फुर्तीली नजर आ रही है भाजपा....आज बागपत में नजर आएंगे सीएम योगी
#UPElection2022
@myogiadit…",gujjarmonty9
,RT @Pandey18Anamika: विवादों से भले ही रिश्ता रहता हो….लेकिन शख़्सियत दूसरों से बिल्कुल जुदा….@asadowaisi क़ायल बना लिया आपने अपना….All the…,Akhtar4love
,RT @news24tvchannel: पश्चिमी उत्तरप्रदेश में BJP नेताओ को भगाया और कूटा जा रहा है इसलिए अब ये लोग दिल्ली में बैठक कर रहे हैं : @yadavakhile…,umarpatel21
,"RT @ZeeNews: यूपी में 31 जनवरी को पीएम की पहली वर्चुअल रैली -सूत्र  #BreakingNews 

#UPElection2022 

अन्य खबरों के लिए क्लिक करें - https:…",TheJaatShahab
,RT @Kumkum26: तीन दिन बाद आज धूप के दर्शन हुए #UPElection2022 #UttarPradeshElections2022 https://t.co/VplrDipVef,Khushwant79
,"RT @news24tvchannel: गांव में BJP के लोग घुस नहीं पा रहे, किसानों की नजर में Teni सबसे बड़ा गुंडा : @jayantrld 

@RLDparty #UPElection2022…",Dharmen10588850
