geo,text,user
,RT @MeghBulletin: Akhilesh Yadav takes a veiled jibe at CM Yogi Adityanath; Says Those who wear 'lungi' know nothing about Elections and Go…,HareKri30217011
,"RT @sunandavashisht: Yogi Adityanath’s strongest point in his tenure is law and order. Regardless of who you speak to, what their political…",dost_dk
,"RT @sunandavashisht: Yogi Adityanath’s strongest point in his tenure is law and order. Regardless of who you speak to, what their political…",muraliks_11
,"RT @AnkitIndiaReal: PM Choice 2024 👇

Narendra Modi    53%
Rahul Gandhi        7%
Yogi Adityanath    6%
Amit Shah             4%

Source -…",shoba9999
,"RT @sunandavashisht: Yogi Adityanath’s strongest point in his tenure is law and order. Regardless of who you speak to, what their political…",Dr_jayadevsk
,"RT @IndiaToday: In an attempt to set up a massive face-off in the upcoming #UPelections, Samajwadi Party is likely to field a Brahmin candi…",RupeshY52124489
,"RT @AnkitIndiaReal: PM Choice 2024 👇

Narendra Modi    53%
Rahul Gandhi        7%
Yogi Adityanath    6%
Amit Shah             4%

Source -…",omkartillu
,"RT @sunandavashisht: Yogi Adityanath’s strongest point in his tenure is law and order. Regardless of who you speak to, what their political…",Samarth54822356
,"RT @sunandavashisht: Yogi Adityanath’s strongest point in his tenure is law and order. Regardless of who you speak to, what their political…",Yasharma99
,"RT @MeghBulletin: Bhim Army Chief, Chandrashekhar Ravana will contest from Gorakhpur sadar seat against CM Yogi Adityanath",Shubham61749445
,"RT @AnkitIndiaReal: PM Choice 2024 👇

Narendra Modi    53%
Rahul Gandhi        7%
Yogi Adityanath    6%
Amit Shah             4%

Source -…",rangakidambee
,"RT @sunandavashisht: Yogi Adityanath’s strongest point in his tenure is law and order. Regardless of who you speak to, what their political…",Manoj67793547
,"RT @sunandavashisht: Yogi Adityanath’s strongest point in his tenure is law and order. Regardless of who you speak to, what their political…",LadakuVimaan
,RT @MeghBulletin: Akhilesh Yadav takes a veiled jibe at CM Yogi Adityanath; Says Those who wear 'lungi' know nothing about Elections and Go…,Mrpoloman12
,"RT @sunandavashisht: Yogi Adityanath’s strongest point in his tenure is law and order. Regardless of who you speak to, what their political…",YogendraBSharm1
