geo,text,user
,"RT @t_d_h_nair: You can read this
https://t.co/bCH63BULso",AnsariRashika
,#LIVE | UP CM Yogi Adityanath addresses a rally in Gorakhpur https://t.co/yO1vjBIsBn,CNNnews18
,"RT @satishsingh05: Follow the orders of Chief Minister Shri Yogi Adityanath ji
#6800_शिक्षकों_को_नियुक्ति_दो https://t.co/ERip72eCML",azeemm99
,"#UPElections2022 | Incumbent Chief Minister #YogiAdityanath declared assets worth over Rs 1.54 crore (Rs 1,54,94,054) in his election affidavit on 4 Jan.
https://t.co/q2USGcgJGo",TheQuint
,"RT @ANINewsUP: #WATCH | Accompanied by Union Home Minister Amit Shah, Uttar Pradesh CM Yogi Adityanath files nomination papers as a BJP can…",punal100
,"Amit Shah : Under Yogi Adityanath GORAKHPUR got this - G ( Ganga Express), O (Organic Farming), R ( Roads), A (AIIMS), Kh (Khad factory), PU (Purvanchal Expressway) &amp; R (Regional Medical Research Centre).
#YogiReturns",imabhishek268
,"This is the reason why @myogiadityanath is different from others!
https://t.co/eUtlUSDyEk",dr_gct
,"RT @BittuTuFanii: Uttar Pradesh Riot-Free Since 2017, Now Preferred Destination For Investment under the visionary leadership of CM Yogi Ad…",ChowkidarVikrnt
,"RT @satishsingh05: Follow the orders of Chief Minister Shri Yogi Adityanath ji
#6800_शिक्षकों_को_नियुक्ति_दो https://t.co/ERip72eCML",Beena54914348
,"RT @satishsingh05: Follow the orders of Chief Minister Shri Yogi Adityanath ji
#6800_शिक्षकों_को_नियुक्ति_दो https://t.co/ERip72eCML",DevGupt30467549
,"RT @AapGhumaKeLeL0: “Yogi Adityanath ka mùऽàImano se kya rishta hai...”

Yogi’s answer tells why he is the ONLY Hindu politician in today’s…",007_hare
,"RT @BjpashishMshra: Yogi Adityanath ji has made Uttar Pradesh a Uttam Pradesh, so I have full faith that Yogi ji will register a thumping v…",PinkeshPatel97
,"RT @AapGhumaKeLeL0: “Yogi Adityanath ka mùऽàImano se kya rishta hai...”

Yogi’s answer tells why he is the ONLY Hindu politician in today’s…",SfSf09354328
,"RT @satishsingh05: Follow the orders of Chief Minister Shri Yogi Adityanath ji
#6800_शिक्षकों_को_नियुक्ति_दो https://t.co/ERip72eCML",Vivekkumaryadu
,"RT @AapGhumaKeLeL0: “Yogi Adityanath ka mùऽàImano se kya rishta hai...”

Yogi’s answer tells why he is the ONLY Hindu politician in today’s…",SaffronAhead
,"RT @rishibagree: Gentle Reminder : 

The age difference between Youth Icon Akhilesh Yadav &amp; Yogi Adityanath is only 1 year",05Chandan
,"RT @rishibagree: Gentle Reminder : 

The age difference between Youth Icon Akhilesh Yadav &amp; Yogi Adityanath is only 1 year",Virathu4
