geo,text,user
,RT @AltNews: A photo of Congress leaders Priyanka and Rahul Gandhi holding the party's youth manifesto for UP was morphed. While BJP member…,Jayantj58526689
,"RT @RavinderKapur2: Narendra Modi
Amit Shah
Yogi Adityanath

No amount of money can whitewash your sins !

#AssemblyElections2022",BinsT1998
,"RT @RavinderKapur2: Narendra Modi
Amit Shah
Yogi Adityanath

No amount of money can whitewash your sins !

#AssemblyElections2022",dennisckurian
,RT @AltNews: A photo of Congress leaders Priyanka and Rahul Gandhi holding the party's youth manifesto for UP was morphed. While BJP member…,Jayantj08833076
,"RT @tanmoyofc: 𝐃𝐚𝐧𝐜𝐞 𝐨𝐟 𝐃𝐞𝐦𝐨𝐜𝐫𝐚𝐜𝐲

#UttarPradeshElections are going to be the most 𝐁𝐢𝐚𝐬𝐞𝐝 Election since Independence. 

🔸Yogi Adityanath K…",khedia_basant
,"RT @sas96553801: All National Dailies and the likes of The Wire, Squint, Print are trying their best with their twisted narratives to defea…",Ninza_Fmr_SriLK
,"RT @sas96553801: All National Dailies and the likes of The Wire, Squint, Print are trying their best with their twisted narratives to defea…",jjboruah
,"RT @KiranKS: HM Amit Shah claims:
Under Yogi government, Uttar Pradesh has seen a massive 70% decrease in dacoity compared with the previou…",himanshujmohan
,"𝐃𝐚𝐧𝐜𝐞 𝐨𝐟 𝐃𝐞𝐦𝐨𝐜𝐫𝐚𝐜𝐲

#UttarPradeshElections are going to be the most 𝐁𝐢𝐚𝐬𝐞𝐝 Election since Independence. 

🔸Yogi Adi… https://t.co/KQe7AgXLdl",tanmoyofc
,"RT @RavinderKapur2: CM  Yogi Adityanath is going to be the first brick in the BJP's wall to fall down .

#March10",a_star_16
,"When history is written, the election of Adityanath as chief minister will go down as one of the darkest days in In… https://t.co/1PV8J9Yvxo",ZeeMohamed_
,"RT @RavinderKapur2: CM  Yogi Adityanath is going to be the first brick in the BJP's wall to fall down .

#March10",silvestercliff
,"RT @SajansandhuSaj1: #Justice For Army Students
@Narendra Modi
@Amit Shah
@Yogi Adityanath",bhayankar_bhaji
,"RT @KiranKS: HM Amit Shah claims:
Under Yogi government, Uttar Pradesh has seen a massive 70% decrease in dacoity compared with the previou…",_venky1
,"RT @ANINewsUP: Uttar Pradesh CM Yogi Adityanath holds a meeting with 'Team 9' in Lucknow, over #COVID19 situation. https://t.co/Quse7mxDiF",newschauraha
,"RT @ANINewsUP: Uttar Pradesh CM Yogi Adityanath holds a meeting with 'Team 9' in Lucknow, over #COVID19 situation. https://t.co/Quse7mxDiF",mishrarohit812
