geo,text,user
,RT @MeghBulletin: If someone tries to Stop Kanwar Yatra then we will give them proper treatment: CM Yogi Adityanath https://t.co/jscBFi9Uef,sen_sindh
,RT @khan_zafarul: Declare India a 'Hindu Rashtra': sadhus at Magh Mela demand. They pleaded that the Modi government at the Centre and the…,Aman_tweets_
,RT @MeghBulletin: If someone tries to Stop Kanwar Yatra then we will give them proper treatment: CM Yogi Adityanath https://t.co/jscBFi9Uef,ganeshps333
,RT @qazifarazahmad: SP fields student leader Puja Shukla from Lucknow North. Puja was sent to jail for showing black flags to CM Yogi Adity…,rajusvin
,RT @MeghBulletin: If someone tries to Stop Kanwar Yatra then we will give them proper treatment: CM Yogi Adityanath https://t.co/jscBFi9Uef,rk_wiraasingh
,"UP Election: CM Yogi Adityanath will reach Shri Krishna’s city for election campaign on Wednesday, will hold public meetings in 3 assemblies of the district https://t.co/MeYqCr9v0q",NewsNCR2
,RT @MeghBulletin: If someone tries to Stop Kanwar Yatra then we will give them proper treatment: CM Yogi Adityanath https://t.co/jscBFi9Uef,bondsatyam
,RT @MeghBulletin: If someone tries to Stop Kanwar Yatra then we will give them proper treatment: CM Yogi Adityanath https://t.co/jscBFi9Uef,NamitaNami5
,"RT @ANINewsUP: BJP releases a list of candidates for #UttarPradeshAssemblyeletions 

Swati Singh, the Minister of State (Independent Charge…",singhskns99
,"RT @NewsArenaIndia: UP CM Yogi Adityanath will file nomination on 4th February from Gorakhpur.

Who will be the big names accompanying him…",Babuji9
,RT @MeghBulletin: If someone tries to Stop Kanwar Yatra then we will give them proper treatment: CM Yogi Adityanath https://t.co/jscBFi9Uef,L0rdParshuram
,"RT @ANINewsUP: BJP releases a list of candidates for #UttarPradeshAssemblyeletions 

Swati Singh, the Minister of State (Independent Charge…",Avinash03854009
,RT @MeghBulletin: If someone tries to Stop Kanwar Yatra then we will give them proper treatment: CM Yogi Adityanath https://t.co/jscBFi9Uef,Avinash03854009
,"RT @Morewithshashi: Swati Singh, the Minister of State (Independent Charge) for Women's Welfare in the Yogi Adityanath govt didn't get tick…",SardarIron
,"@williamfdsouza1 @Ramnath297 @vinodh007 @s_shreyatweets Again u should use your Mind, top party leaders are those who took the decision for everything, is Modi a dynast, Amit Shah dynast, JP Nadda Dynast, Yogi Adityanath Dynast 😂",KushAgg63817610
,"RT @ANINewsUP: BJP releases a list of candidates for #UttarPradeshAssemblyeletions 

Swati Singh, the Minister of State (Independent Charge…",AmitMishraa17
,RT @MeghBulletin: If someone tries to Stop Kanwar Yatra then we will give them proper treatment: CM Yogi Adityanath https://t.co/jscBFi9Uef,TRILOKHNATH
,RT @MeghBulletin: If someone tries to Stop Kanwar Yatra then we will give them proper treatment: CM Yogi Adityanath https://t.co/jscBFi9Uef,Kumar57631150
,"Uttar Pradesh Assembly Elections 2022: Like Vaccine, BJP in UP Will Provide Double Dose Ration Every Month, Says CM Yogi Adityanath
https://t.co/ZCoDVEvxKZ
@myogiadityanath #UttarPradeshAssemblyElections2022 #Vaccine #BJP #Ration  #BJP  #UttarPradeshElections2022",latestly
,"RT @ANINewsUP: BJP releases a list of candidates for #UttarPradeshAssemblyeletions 

Swati Singh, the Minister of State (Independent Charge…",Rjt2190
